date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:54	136/136	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Tue,%2003%20Oct%202023%2015:31:46%20GMT	https://www.onestepgps.com/robots.txt		(from )
17:23:55	275911/275911	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2001:23:54%20GMT	https://www.onestepgps.com/	www.onestepgps.com/index.html	(from )
17:23:57	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:23:55%20GMT	http://www.onestepgps.com/images-webp/phone.webp	www.onestepgps.com/images-webp/phone.0.delayed	(from https://www.onestepgps.com/)
17:23:57	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:23:57%20GMT	http://www.onestepgps.com/images-webp/modal-ipad.webp	www.onestepgps.com/images-webp/modal-ipad.webp	(from https://www.onestepgps.com/)
17:23:58	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:23:58%20GMT	http://www.onestepgps.com/fleet-tracking	www.onestepgps.com/fleet-tracking	(from https://www.onestepgps.com/)
17:23:59	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:23:59%20GMT	http://www.onestepgps.com/images-webp/truck-1.webp	www.onestepgps.com/images-webp/truck-1.webp	(from https://www.onestepgps.com/)
17:24:00	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:00%20GMT	http://www.onestepgps.com/trucking-and-eld	www.onestepgps.com/trucking-and-eld	(from https://www.onestepgps.com/)
17:24:01	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:01%20GMT	http://www.onestepgps.com/images-webp/delivery-van.webp	www.onestepgps.com/images-webp/delivery-van.webp	(from https://www.onestepgps.com/)
17:24:02	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:02%20GMT	http://www.onestepgps.com/asset-tracking	www.onestepgps.com/asset-tracking	(from https://www.onestepgps.com/)
17:24:03	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:03%20GMT	http://www.onestepgps.com/images-webp/3-d-printing-cube.webp	www.onestepgps.com/images-webp/3-d-printing-cube.webp	(from https://www.onestepgps.com/)
17:24:04	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:04%20GMT	http://www.onestepgps.com/solar-powered-tracker	www.onestepgps.com/solar-powered-tracker	(from https://www.onestepgps.com/)
17:24:05	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:05%20GMT	http://www.onestepgps.com/dash-camera	www.onestepgps.com/dash-camera	(from https://www.onestepgps.com/)
17:24:06	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:06%20GMT	http://www.onestepgps.com/battery-tracker	www.onestepgps.com/battery-tracker	(from https://www.onestepgps.com/)
17:24:07	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:07%20GMT	http://www.onestepgps.com/plug-in-tracker	www.onestepgps.com/plug-in-tracker	(from https://www.onestepgps.com/)
17:24:08	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:08%20GMT	http://www.onestepgps.com/hardwired-tracker	www.onestepgps.com/hardwired-tracker	(from https://www.onestepgps.com/)
17:24:09	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:09%20GMT	http://www.onestepgps.com/reviews	www.onestepgps.com/reviews	(from https://www.onestepgps.com/)
17:24:10	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:10%20GMT	http://www.onestepgps.com/images-webp/comment-alt-dots-3.webp	www.onestepgps.com/images-webp/comment-alt-dots-3.webp	(from https://www.onestepgps.com/)
17:24:11	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:11%20GMT	http://www.onestepgps.com/images-webp/comment-alt-dots-3.webp	www.onestepgps.com/images-webp/comment-alt-dots-3.webp	(from https://www.onestepgps.com/)
17:24:12	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:12%20GMT	http://www.onestepgps.com/images-webp/devices.webp	www.onestepgps.com/images-webp/devices.webp	(from https://www.onestepgps.com/)
17:24:13	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:13%20GMT	http://www.onestepgps.com/images-webp/main-iphone.webp	www.onestepgps.com/images-webp/main-iphone.webp	(from https://www.onestepgps.com/)
17:24:14	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:14%20GMT	http://www.onestepgps.com/images-webp/logos-color/5-Leaf-Labs.webp	www.onestepgps.com/images-webp/logos-color/5-Leaf-Labs.webp	(from https://www.onestepgps.com/)
17:24:15	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:15%20GMT	http://www.onestepgps.com/images-webp/logos-color/abm.webp	www.onestepgps.com/images-webp/logos-color/abm.webp	(from https://www.onestepgps.com/)
17:24:16	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:16%20GMT	http://www.onestepgps.com/images-webp/logos-color/ace-handyman-services.webp	www.onestepgps.com/images-webp/logos-color/ace-handyman-services.webp	(from https://www.onestepgps.com/)
17:24:17	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:17%20GMT	http://www.onestepgps.com/images-webp/logos-color/averitt.webp	www.onestepgps.com/images-webp/logos-color/averitt.webp	(from https://www.onestepgps.com/)
17:24:18	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:18%20GMT	http://www.onestepgps.com/images-webp/logos-color/babcock-power.webp	www.onestepgps.com/images-webp/logos-color/babcock-power.webp	(from https://www.onestepgps.com/)
17:24:19	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:19%20GMT	http://www.onestepgps.com/images-webp/logos-color/BayCare.webp	www.onestepgps.com/images-webp/logos-color/BayCare.webp	(from https://www.onestepgps.com/)
17:24:20	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:20%20GMT	http://www.onestepgps.com/images-webp/logos-color/bluegrass-metals-and-lumber.webp	www.onestepgps.com/images-webp/logos-color/bluegrass-metals-and-lumber.webp	(from https://www.onestepgps.com/)
17:24:21	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:21%20GMT	http://www.onestepgps.com/images-webp/logos-color/chick-fil-a.webp	www.onestepgps.com/images-webp/logos-color/chick-fil-a.webp	(from https://www.onestepgps.com/)
17:24:22	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:22%20GMT	http://www.onestepgps.com/images-webp/logos-color/city-of-stockton.webp	www.onestepgps.com/images-webp/logos-color/city-of-stockton.webp	(from https://www.onestepgps.com/)
17:24:23	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:23%20GMT	http://www.onestepgps.com/images-webp/logos-color/cleansweep-services.webp	www.onestepgps.com/images-webp/logos-color/cleansweep-services.webp	(from https://www.onestepgps.com/)
17:24:24	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:24%20GMT	http://www.onestepgps.com/images-webp/logos-color/delaware-elevator.webp	www.onestepgps.com/images-webp/logos-color/delaware-elevator.webp	(from https://www.onestepgps.com/)
17:24:25	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:25%20GMT	http://www.onestepgps.com/images-webp/logos-color/door-to-door-driving-services.webp	www.onestepgps.com/images-webp/logos-color/door-to-door-driving-services.webp	(from https://www.onestepgps.com/)
17:24:26	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:26%20GMT	http://www.onestepgps.com/images-webp/logos-color/dow.webp	www.onestepgps.com/images-webp/logos-color/dow.webp	(from https://www.onestepgps.com/)
17:24:27	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:27%20GMT	http://www.onestepgps.com/images-webp/logos-color/Glantz.webp	www.onestepgps.com/images-webp/logos-color/Glantz.webp	(from https://www.onestepgps.com/)
17:24:28	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202024%2001:24:28%20GMT	http://www.onestepgps.com/images-webp/logos-color/Jacobs.webp	www.onestepgps.com/images-webp/logos-color/Jacobs.webp	(from https://www.onestepgps.com/)
